id,title
"S-GLXS5BA2410,S-AWST24SU1305",2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace
GLXS3BN2410,GLXS3BN2410 2 Ton R-32 Air Conditioner - Goodman
"GLXS3BN3610, GR9S800604BNA, CAPTA3626B3",3 Ton 13.4 SEER2 R-32 80% AFUE AC System (Upflow Coil) - Goodman
"RP15AY36AJ2NA, R921T0603A17M4SNAS, RCFY3617STANMC",3.0 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 92% AFUE Furnace - R-454B - Rheem
16283150546927324809,"3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Upflow Coil) - Solace"
RH2VY6024STACNJ,RH2VY6024STACNJ - 5.0 Ton Variable Speed Air Handler - Rheem
398641206010559439,2.5 Ton 16.2 SEER2 R-32 96% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman
S-AWST30LU1305A,2.5 Ton R-32 Wall-Mount Air Handler - S-AWST30LU1305A - Solace
10679297228401464298,5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman
13696228366705287157,2 Ton R-32 Heat Pump Condenser - GZV6SA2410 - Goodman
"GLXS3BN4810, AMST48CU13",4 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler - Goodman
AMVT48CP1300,4.0 Ton AMVT48CP1300 R-32 Multi-Position Variable-Speed Air Handler - Goodman
"S-GLXS5BA4810,S-GR9S920804CNA,S-CHPTA4830C3",4 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
1625073768606356541,GPGM56014031 - 5.0 Ton 15.2 SEER2 Two-Stage Package Unit - Goodman
GLXS5BA6010,5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA6010 - Goodman
AMVT42CP1300,3.5 Ton AMVT42CP1300 R-32 Multi-Position Variable-Speed Air Handler - Goodman
"RA15AY30AJ1NA, RCFY3617STANMC",2.5 Ton 15.0 SEER2 AC & Evaporator Coil System - Rheem
"S-GLXS5BA6010,S-GR9S801005CNA,S-CHPTA6030D3",5 Ton 15.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
"S-GLZS4BA3010,S-AMST30BU13",2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace
"S-GLXS4BA6010,S-GR9S921005CNA,S-CHPTA6030D3",5 Ton 14.3 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
GLXS5BA2410,2 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA2410 - Goodman
"RP15AY36AJ2NA, RH2VY3617STACNJ, WRX10021",R-454B 3.0 Ton 16 SEER2 Complete Heat Pump System 10kW - Rheem
"S-GLXT7CA6010,S-CAPTA6030C3,S-GRVT961005CN","5 Ton 17.2 SEER2 R-32 96% AFUE 100,000 BTU Gas Furnace Air Conditioning System (Upflow Coil) - Solace"
"GLXS3BN4210, GR9S920804CNA, CHPTA4230C3",3.5 Ton 13.4 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman
"S-GLZS4BA3610,S-AWST36LU1308A",3 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler - Solace
S-GPGM54210031,3.5 Ton 15.2 SEER2 Packaged Gas/Electric - S-GPGM54210031 - Solace
"S-GLXS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
GXV6SS1810,1.5 Ton R-32 Air Conditioner Condenser - GXV6SS1810 - Goodman
S-AHVE48CP1300,4 Ton R-32 Air Handler - S-AHVE48CP1300 - Solace
GD9S801005CN,"100,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S801005CN - Goodman"
7402294822607746231,1.5 Ton 16.2 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Upflow Coil) - Goodman
"GLXS5BA2410, AWST24SU1305",2 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Hung Air Handler - Goodman
"S-GLZS4BA6010,S-GR9S801005CNA,S-CHPTA6030D3",5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil) - Solace
"GLZS5BA6010, GR9S801005CNA, CAPTA6030C3",5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil) - Goodman
"S-GLZS4BA3010,S-AWST30LU1310A",2.5 Ton 14.3 SEER2 R-32 Heat Pump System with Wall-Mounted Air Handler 10KW heat kit - Solace
S-AWST18SU1308A,1.5 Ton R-32 Wall-Mount Air Handler - S-AWST18SU1308A - Solace
"S-GXV6SS2410,S-AHVE24BP1300,S-GTST-CW-WH-A",2 Ton 16.2 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler - Solace
521KIT,Single-Stage Multi-Speed Gas Furnace 521KIT - Goodman
"S-GLXS4BA1810,S-GR9S800403ANA,S-CHPTA2426B3",1.5 Ton 14.3 SEER2 R-32 80% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
GR9S920603BN,GR9S920603BN 92% AFUE Gas Furnace - Goodman
"S-GLZS5BA4810,S-AMST48CU13",4 Ton 15.2 SEER2 R-32 Heat Pump System with Multi-Positional Air Handler - Solace
"S-GLXS5BA1810,S-AWST18SU1305",1.5 Ton 15.2 SEER2 R-32 Air Conditioning System with Wall-Mounted Air Handler - Solace
GPGM56014031,5 Ton 15.2 SEER2 Packaged Gas/Electric - GPGM56014031 - Goodman
S-GPHM52431,2 Ton 15.2 SEER2 Packaged Air Conditioner - S-GPHM52431 - Solace
"GLXS3BN1810, AMST24BU13",1.5 Ton 13.4 SEER2 R-32 Air Conditioning System with Multi-Position Air Handler - Goodman
"S-GLXS4BA6010,S-AMST60DU13",5 Ton 14.3 SEER2 R-32 Air Conditioning System with Multi-Positional Air Handler - Solace
"GLXS5BA4210, GR9S920804CNA, CHPTA4230C3",3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman
S-GLZS5BA3610,3 Ton 15.2 SEER2 R-32 Heat Pump - S-GLZS5BA3610 - Solace
CHPTA3630B3,CHPTA3630B3 2½ - 3 Ton R-32 Evaporator Coil - Goodman
GR9T800603AN,"60,000 BTU Gas Furnace 80% AFUE Two-Stage - GR9T800603AN - Goodman"
"S-GLZS5BA3010,S-GR9S800603ANA,S-CAPTA3022A3",2.5 Ton 15.2 SEER2 R-32 80% AFUE Dual Fuel System (Upflow Coil) - Solace
GD9S960804CN,"80,000 BTU Gas Furnace 96% AFUE Single-Stage Downflow - GD9S960804CN - Goodman"
"GLXS5BA4810, GR9S800804CNA, CHPTA4830C3",4 Ton 15.2 SEER2 R-32 80% AFUE AC System (Horizontal Coil) - Goodman
11388226215903968063,GLZS4BA1810 1.5 Ton R-32 Heat Pump - Goodman
GPCH33031,2.5 Ton 13.4 SEER2 Packaged Air Conditioner - GPCH33031 - Goodman
RP14AY36AJ2NA,3.0 Ton 14.3 SEER2 Two-Stage Heat Pump - Rheem
GLXS4BA4810,GLXS4BA4810 4 Ton R-32 Air Conditioner - Goodman
"S-GLZS4BA4810,S-GR9S800804CNA,S-CHPTA4830C3",4 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel System (Horizontal Coil) - Solace
"S-GLZS5BA1810,S-GR9S920403ANA,S-CHPTA2426B3",1.5 Ton 15.2 SEER2 R-32 92% AFUE Dual Fuel System (Horizontal Coil) - Solace
S-GRVT800803BN,"80,000 BTU 80% AFUE Gas Furnace - S-GRVT800803BN - Solace"
GLXS5BA1810,1.5 Ton 15.2 SEER2 R-32 Air Conditioner — GLXS5BA1810 - Goodman
"RP15AY24AJ2NA, RH2VY2417STACNJ, WRX05021",R-454B 2.0 Ton 16 SEER2 Complete Heat Pump System 5kW - Rheem
18404939674041544771,3 Ton Variable Capacity 17.5 SEER2 R-32 80% AFUE Dual Fuel System with ComfortNet Smart Thermostat (Upflow Coil) - Goodman
RCFY2417STANMC,"RCFY2417STANMC - 2.0 Ton 17.5"" Cased Evaporator Coil - Rheem"
S-GPGM34208031,3.5 Ton 13.4 SEER2 Packaged Gas/Electric - S-GPGM34208031 - Solace
"RP15AY18AJ2NA, R801T0503A14UHSNAS, RCFY2414STAAMC",1.5 Ton Dual Fuel System - 15.2 SEER2 Heat Pump & 80% AFUE Furnace - Rheem
"GLXS4BA4210, GR9S800804CNA, CAPTA4230C3","3.5 Ton AC System 14.3 SEER2 with 80,000 BTU 80% AFUE Furnace - R-32 - Goodman"
S-AWST24SU1310A,2 Ton R-32 Wall-Mount Air Handler - S-AWST24SU1310A - Solace
R801T1255A24UHSNAS,"R801T1255A24UHSNAS - 125,000 BTU 80% AFUE Single Stage Furnace - Rheem"
GPCH34231,3.5 Ton 13.4 SEER2 Packaged Air Conditioner - GPCH34231 - Goodman
S-GPHH33031,2 Ton 13.4 SEER2 Packaged Heat Pump - S-GPHH33031 - Solace
"GLZS4BA6010, GR9S801005CNA, CHPTA6030D3",5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Horizontal Coil) - Goodman
15815672724909882361,"3 Ton 16.2 SEER2 R-32 96% AFUE 60,000 BTU Gas Furnace Air Conditioning System (Horizontal Coil) - Solace"
7576250134989752230,CHPTA3630B3 2½ - 3 Ton R-32 Evaporator Coil - Goodman
"S-GLXS5BA4210,S-GR9S920804CNA,S-CHPTA4230C3",3.5 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Solace
"GLXS5BA3610, GR9S920603BNA, CHPTA3630B3",3 Ton 15.2 SEER2 R-32 92% AFUE Gas Furnace Air Conditioning System (Horizontal Coil) - Goodman
10468905680763114491,2 Ton R-32 Air Handler - S-AMST24BU13 - Solace
S-AMVT60DP1300,5 Ton R-32 Air Handler - S-AMVT60DP1300 - Solace
S-CHPTA3630B3,3 Ton R-32 Horizontal Evaporator Coil - S-CHPTA3630B3 - Solace
GD9S800804BN,"80,000 BTU Gas Furnace 80% AFUE Single-Stage Downflow - GD9S800804BN - Goodman"
"GLZS4BA4210, GR9S800804CNA, CAPTA4230C3",3.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Upflow Coil) - Goodman
"GLZS4BA3010, GR9S800603ANA, CHPTA3026B3",2.5 Ton 14.3 SEER2 R-32 80% AFUE Dual Fuel Heat Pump System (Horizontal Coil) - Goodman
